timestamp,customer_id,amount,category,status
2025-01-01 00:01:00,5725,54.3,tech,0
2025-01-01 00:01:00,5163,42.86,fuel,0
2025-01-01 00:01:00,9513,9.2,travel,0
2025-01-01 00:01:00,7762,58.14,grocery,0
2025-01-01 00:01:00,5512,3.06,travel,0
2025-01-01 00:01:00,3983,29.86,grocery,0
2025-01-01 00:01:00,4290,5.53,grocery,0
2025-01-01 00:01:00,1621,94.66,grocery,0
2025-01-01 00:01:00,6353,14.48,pharmacy,0
2025-01-01 00:01:00,6615,78.84,travel,0
2025-01-01 00:01:00,4654,28.89,restaurant,0
2025-01-01 00:01:00,1006,69.59,travel,0
2025-01-01 00:01:00,9685,60.75,grocery,0
2025-01-01 00:01:00,2750,60.94,grocery,0
2025-01-01 00:01:00,2068,207.19,restaurant,0
2025-01-01 00:01:00,3627,119.22,grocery,0
2025-01-01 00:01:00,1625,52.45,pharmacy,0
2025-01-01 00:01:00,8881,54.04,tech,0
2025-01-01 00:01:00,5189,4.92,tech,0
2025-01-01 00:01:00,3113,49.81,pharmacy,0
2025-01-01 00:01:00,9195,1.55,tech,0
2025-01-01 00:01:00,7417,3.08,restaurant,0
2025-01-01 00:01:00,1242,9.88,pharmacy,0
2025-01-01 00:01:00,5088,85.61,restaurant,0
2025-01-01 00:01:00,8458,71.55,fuel,0
2025-01-01 00:01:00,6167,95.42,fuel,0
2025-01-01 00:01:00,6017,50.57,restaurant,0
2025-01-01 00:01:00,2816,14.35,grocery,0
2025-01-01 00:01:00,5672,29.74,grocery,0
2025-01-01 00:01:00,1460,88.82,fuel,0
2025-01-01 00:01:00,1548,20.17,travel,0
2025-01-01 00:01:00,8154,53.76,grocery,0
2025-01-01 00:01:00,1014,4.89,grocery,0
2025-01-01 00:01:00,1059,100.99,grocery,0
2025-01-01 00:01:00,1166,104.67,travel,0
2025-01-01 00:01:00,6874,14.54,restaurant,0
2025-01-01 00:01:00,1758,73.82,tech,0
2025-01-01 00:01:00,8764,60.34,pharmacy,0
2025-01-01 00:01:00,6222,16.83,pharmacy,0
2025-01-01 00:01:00,3116,0.61,restaurant,0
2025-01-01 00:01:00,5107,29.34,fuel,0
2025-01-01 00:01:00,2479,79.25,grocery,0
2025-01-01 00:01:00,5506,9.98,fuel,0
2025-01-01 00:01:00,2702,5.89,grocery,0
2025-01-01 00:01:00,1616,2.13,fuel,0
2025-01-01 00:01:00,8671,4.66,travel,0
2025-01-01 00:01:00,6245,1.05,pharmacy,0
2025-01-01 00:01:00,5975,26.89,restaurant,0
2025-01-01 00:01:00,5551,50.71,pharmacy,0
2025-01-01 00:01:00,1706,24.36,grocery,0
2025-01-01 00:01:00,4314,110.96,restaurant,0
2025-01-01 00:01:00,6607,6.88,grocery,0
2025-01-01 00:01:00,9869,4.53,restaurant,0
